fecha,EST,LAT,LONG,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
08/04/19,RS-01,20.346928,-102.779392,22,7.2,2.4,854,33,273.59,48.99,192.99,1.26,0,0,0,1.53,107.9,0,2.94,26.73,0,0.5,29,547,0,1.08,0.5412,0.0106,0.1859,0,0,0,1.573,0.076,5.90E-04,0,0,77.7,0.021,46,46,0,22,16.11,123.21,576,1.53
12/08/09,RS-01,20.346928,-102.779392,26,8.13,0,659,35.3,229.11,31.02,131.44,0.34,0.27,0,5.37,9.54,12.72,0.572,37.8,169.65,12.73,1.94,66,396,0.2,8.16,0.644,0.0062,0.13,0,0,0,1.332,0.902,0,0,0,42.6,0.059,1100000,460000,0,30,0,0,462,9.81
16/05/10,RS-01,20.346928,-102.779392,18.1,7.12,0.47,374,374,155,14,111,0,0,0.017,2.34,4.68,15.78,0.56,12.81,52.39,0,0.738,21,254,0,0.21,1.358,0,0,0,0,0,1.675,0.201,0.0013,0,0,13.95,0,1100000,1100000,0,19,0,0,275,4.697
29/05/12,RS-01,20.346928,-102.779392,26,8.2,1.7,1091,34,409.34,65.71,266.8,1.42,0.27,0,0,0,95.79,0.39,6.1,36.14,0,0.97,24,756,0,7.22,0.952,0.008,0.134,0,0,0,0.696,0.082,0,0,0,118.2,0.039,240000,15000,0,27.7,0,0,780,0
20/04/20,RS-01,20.346928,-102.779392,22,8.8,6.74,966,40,365.4,62,258.36,1.31,0.25,0,0,1.11,106.22,0,6.87,36.41,0,0.55,41,659,0,1.58,3.82,0.0064,0.432,7.20E-04,0,0,2.294,0.057,7.80E-04,0,0.008,103.8,0,110,110,0,26,7.8,115.44,700,1.36
12/06/13,RS-01,20.346928,-102.779392,27.9,8.53,2.41,1303,75,413.4,77.01,246.76,1.26,0.25,0,0.86,4.29,116.33,0.19,4.32,50.96,0,0.97,65,839,0,0.14,5.1856,0.0087,0.0277,0,0,0,2.606,0.115,8.10E-04,0,0,152.1,0.22,750,750,1,29.3,0,0,904,4.54
11/06/19,RS-01,20.346928,-102.779392,24,7.4,0.21,955,7.2,296.45,73.55,170.54,0.54,0.17,0,0.84,3.19,84.23,0.39,7.56,166.92,0,0.89,13,602,0,1.12,0.367,0,0.1862,6.40E-04,0,0,0.359,0.154,0.00222,0,0.0066,100.3,0.037,1,460,0,25,17.89,133.31,615,3.36
21/01/19,RS-01,20.346928,-102.779392,20,7.5,3.26,787,16,286.8,45.09,178.52,3.15,0.18,0.015,1.58,6.79,88.49,0.16,4.29,33.88,7.08,0.87,17,486,0,1.36,0.1778,0,0.2049,7.50E-04,0,0,1.115,0.082,0.00189,0,0.0073,75.3,0.625,110,110,0,21,0,0,503,6.98
07/09/20,RS-01,20.346928,-102.779392,23,7.3,3.4,390,36,161.13,17.82,111.01,0.34,0,0,2.35,3.64,10.26,0.12,5.48,32.96,0,1.26,37,243,0.2,0.4,3.61,0.0036,0.194,0,0,0,2.601,0.316,0,0,0.0059,21.3,0,1,280,0,25,18.58,66.98,280,3.64
05/10/21,RS-01,20.346928,-102.779392,21,7.4,4.1,205,550,100.39,14.27,59.19,0.76,1.37,0.113,1.33,3.11,11.17,0,4.41,69.36,0,0.77,530.23,241.77,0.1,0,43,0.0029,0.205,0,0,0,25.522,0.388,0,0,0.0199,0,0.041,46,46,0,22,18.51,39.6,772,4.59
21/06/11,RS-01,20.346928,-102.779392,24.5,6.96,0.8,523,47,247.23,18.89,181.17,0,0,0,1.55,7.3,28.97,1.52,36,105.03,0,1.88,22,398,0,16.51,0.1224,0.0046,0.093,7.00E-04,0,0,0.349,0.264,0,0,0,44.19,0.053,2400000,1100000,1,28.6,0,0,420,4.34
08/03/21,RS-01,20.346928,-102.779392,22,8.2,5.22,1044,37,370.13,68.55,243.56,1.44,0,0.01,0,1.43,111.8,0.14,4.02,38.56,13.01,0.59,58,695,0,0.98,2.45,0.0031,0.185,9.90E-04,0,0,2.649,0.071,0,0,0.0084,116.8,0.043,1,1,0,25,0,79.2,753,1.44
15/06/10,RS-01,20.346928,-102.779392,23.2,7.04,0.06,852,100,325,52,188,0.74,0,0.01,2.21,4.42,24.24,1.255,33.24,137.63,0,2.2,18,543,0,27.63,0.365,0.077,0,0,0,0,0.333,0.224,0,0,0,70.7,0.096,9300000,4300000,0,25,0,0,561,4.43
01/03/11,RS-01,20.346928,-102.779392,21.8,8.22,3.01,825.6,60,308.9,46.9,216.21,1,0.29,0,0,3.02,74.32,0,4.5,38.65,0,0.9,47,598,0,0.39,2.5677,0.0192,0.1505,0,0,0,1.682,0.074,6.90E-04,0,0,70.29,0,21000,7500,1,21.5,0,0,645,3.31
16/07/14,RS-01,20.346928,-102.779392,21.5,7.11,2.43,24.1,110,93.67,8.98,78.73,0.31,2.1,0.202,1.34,3.98,18.23,0.19,4.07,42.2,0,0.61,81,213,0,2.51,10.56,0,0,0,0,0,7.376,0.137,7.80E-04,0,0,10.1,0,240,240,0,22.6,0,0,294,6.28
